Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"Table 1"
"SEXP Sex and EETP Engagement in Employment, Education and Training by AGE5P - Age in Five Year Groups"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Counting","SEXP Sex","EETP Engagement in Employment, Education and Training","AGE5P - Age in Five Year Groups","Count",
"Persons, Place of Usual Residence","Male","Fully engaged","0-4 years",0
"Persons, Place of Usual Residence","Male","Fully engaged","5-9 years",0
"Persons, Place of Usual Residence","Male","Fully engaged","10-14 years",0
"Persons, Place of Usual Residence","Male","Fully engaged","15-19 years",587338
"Persons, Place of Usual Residence","Male","Fully engaged","20-24 years",530431
"Persons, Place of Usual Residence","Male","Fully engaged","25-29 years",558982
"Persons, Place of Usual Residence","Male","Fully engaged","30-34 years",587397
"Persons, Place of Usual Residence","Male","Fully engaged","35-39 years",541873
"Persons, Place of Usual Residence","Male","Fully engaged","40-44 years",535291
"Persons, Place of Usual Residence","Male","Fully engaged","45-49 years",516059
"Persons, Place of Usual Residence","Male","Fully engaged","50-54 years",473883
"Persons, Place of Usual Residence","Male","Fully engaged","55-59 years",394833
"Persons, Place of Usual Residence","Male","Fully engaged","60-64 years",242659
"Persons, Place of Usual Residence","Male","Fully engaged","65-69 years",93675
"Persons, Place of Usual Residence","Male","Fully engaged","70-74 years",27724
"Persons, Place of Usual Residence","Male","Fully engaged","75-79 years",9221
"Persons, Place of Usual Residence","Male","Fully engaged","80-84 years",3111
"Persons, Place of Usual Residence","Male","Fully engaged","85-89 years",1161
"Persons, Place of Usual Residence","Male","Fully engaged","90-94 years",348
"Persons, Place of Usual Residence","Male","Fully engaged","95-99 years",457
"Persons, Place of Usual Residence","Male","Fully engaged","100 years and over",71
"Persons, Place of Usual Residence","Male","Fully engaged","Total",5104522
"Persons, Place of Usual Residence","Male","Partially engaged","0-4 years",0
"Persons, Place of Usual Residence","Male","Partially engaged","5-9 years",0
"Persons, Place of Usual Residence","Male","Partially engaged","10-14 years",0
"Persons, Place of Usual Residence","Male","Partially engaged","15-19 years",43097
"Persons, Place of Usual Residence","Male","Partially engaged","20-24 years",92269
"Persons, Place of Usual Residence","Male","Partially engaged","25-29 years",83821
"Persons, Place of Usual Residence","Male","Partially engaged","30-34 years",75855
"Persons, Place of Usual Residence","Male","Partially engaged","35-39 years",69043
"Persons, Place of Usual Residence","Male","Partially engaged","40-44 years",72456
"Persons, Place of Usual Residence","Male","Partially engaged","45-49 years",75111
"Persons, Place of Usual Residence","Male","Partially engaged","50-54 years",78123
"Persons, Place of Usual Residence","Male","Partially engaged","55-59 years",83950
"Persons, Place of Usual Residence","Male","Partially engaged","60-64 years",89835
"Persons, Place of Usual Residence","Male","Partially engaged","65-69 years",67358
"Persons, Place of Usual Residence","Male","Partially engaged","70-74 years",33984
"Persons, Place of Usual Residence","Male","Partially engaged","75-79 years",13591
"Persons, Place of Usual Residence","Male","Partially engaged","80-84 years",4702
"Persons, Place of Usual Residence","Male","Partially engaged","85-89 years",1640
"Persons, Place of Usual Residence","Male","Partially engaged","90-94 years",363
"Persons, Place of Usual Residence","Male","Partially engaged","95-99 years",105
"Persons, Place of Usual Residence","Male","Partially engaged","100 years and over",12
"Persons, Place of Usual Residence","Male","Partially engaged","Total",885310
"Persons, Place of Usual Residence","Male","At least partially engaged","0-4 years",0
"Persons, Place of Usual Residence","Male","At least partially engaged","5-9 years",0
"Persons, Place of Usual Residence","Male","At least partially engaged","10-14 years",0
"Persons, Place of Usual Residence","Male","At least partially engaged","15-19 years",7351
"Persons, Place of Usual Residence","Male","At least partially engaged","20-24 years",19133
"Persons, Place of Usual Residence","Male","At least partially engaged","25-29 years",25706
"Persons, Place of Usual Residence","Male","At least partially engaged","30-34 years",27800
"Persons, Place of Usual Residence","Male","At least partially engaged","35-39 years",24916
"Persons, Place of Usual Residence","Male","At least partially engaged","40-44 years",24427
"Persons, Place of Usual Residence","Male","At least partially engaged","45-49 years",24936
"Persons, Place of Usual Residence","Male","At least partially engaged","50-54 years",25741
"Persons, Place of Usual Residence","Male","At least partially engaged","55-59 years",25962
"Persons, Place of Usual Residence","Male","At least partially engaged","60-64 years",21326
"Persons, Place of Usual Residence","Male","At least partially engaged","65-69 years",11658
"Persons, Place of Usual Residence","Male","At least partially engaged","70-74 years",5392
"Persons, Place of Usual Residence","Male","At least partially engaged","75-79 years",2742
"Persons, Place of Usual Residence","Male","At least partially engaged","80-84 years",1419
"Persons, Place of Usual Residence","Male","At least partially engaged","85-89 years",752
"Persons, Place of Usual Residence","Male","At least partially engaged","90-94 years",256
"Persons, Place of Usual Residence","Male","At least partially engaged","95-99 years",68
"Persons, Place of Usual Residence","Male","At least partially engaged","100 years and over",11
"Persons, Place of Usual Residence","Male","At least partially engaged","Total",249578
"Persons, Place of Usual Residence","Male","Not Engaged","0-4 years",0
"Persons, Place of Usual Residence","Male","Not Engaged","5-9 years",0
"Persons, Place of Usual Residence","Male","Not Engaged","10-14 years",0
"Persons, Place of Usual Residence","Male","Not Engaged","15-19 years",51755
"Persons, Place of Usual Residence","Male","Not Engaged","20-24 years",95785
"Persons, Place of Usual Residence","Male","Not Engaged","25-29 years",87244
"Persons, Place of Usual Residence","Male","Not Engaged","30-34 years",81836
"Persons, Place of Usual Residence","Male","Not Engaged","35-39 years",80007
"Persons, Place of Usual Residence","Male","Not Engaged","40-44 years",89937
"Persons, Place of Usual Residence","Male","Not Engaged","45-49 years",101870
"Persons, Place of Usual Residence","Male","Not Engaged","50-54 years",118341
"Persons, Place of Usual Residence","Male","Not Engaged","55-59 years",154576
"Persons, Place of Usual Residence","Male","Not Engaged","60-64 years",232986
"Persons, Place of Usual Residence","Male","Not Engaged","65-69 years",362931
"Persons, Place of Usual Residence","Male","Not Engaged","70-74 years",325735
"Persons, Place of Usual Residence","Male","Not Engaged","75-79 years",249343
"Persons, Place of Usual Residence","Male","Not Engaged","80-84 years",169140
"Persons, Place of Usual Residence","Male","Not Engaged","85-89 years",101497
"Persons, Place of Usual Residence","Male","Not Engaged","90-94 years",37806
"Persons, Place of Usual Residence","Male","Not Engaged","95-99 years",6877
"Persons, Place of Usual Residence","Male","Not Engaged","100 years and over",530
"Persons, Place of Usual Residence","Male","Not Engaged","Total",2348198
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","0-4 years",0
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","5-9 years",0
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","10-14 years",0
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","15-19 years",38135
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","20-24 years",57812
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","25-29 years",68327
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","30-34 years",66930
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","35-39 years",57293
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","40-44 years",55590
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","45-49 years",55203
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","50-54 years",52854
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","55-59 years",49798
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","60-64 years",45547
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","65-69 years",45604
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","70-74 years",38485
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","75-79 years",32547
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","80-84 years",25652
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","85-89 years",18454
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","90-94 years",8064
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","95-99 years",1743
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","100 years and over",156
"Persons, Place of Usual Residence","Male","Engagement status undetermined/Not Stated","Total",718205
"Persons, Place of Usual Residence","Male","Not applicable","0-4 years",752138
"Persons, Place of Usual Residence","Male","Not applicable","5-9 years",771055
"Persons, Place of Usual Residence","Male","Not applicable","10-14 years",717635
"Persons, Place of Usual Residence","Male","Not applicable","15-19 years",0
"Persons, Place of Usual Residence","Male","Not applicable","20-24 years",0
"Persons, Place of Usual Residence","Male","Not applicable","25-29 years",0
"Persons, Place of Usual Residence","Male","Not applicable","30-34 years",0
"Persons, Place of Usual Residence","Male","Not applicable","35-39 years",0
"Persons, Place of Usual Residence","Male","Not applicable","40-44 years",0
"Persons, Place of Usual Residence","Male","Not applicable","45-49 years",0
"Persons, Place of Usual Residence","Male","Not applicable","50-54 years",0
"Persons, Place of Usual Residence","Male","Not applicable","55-59 years",0
"Persons, Place of Usual Residence","Male","Not applicable","60-64 years",0
"Persons, Place of Usual Residence","Male","Not applicable","65-69 years",0
"Persons, Place of Usual Residence","Male","Not applicable","70-74 years",0
"Persons, Place of Usual Residence","Male","Not applicable","75-79 years",0
"Persons, Place of Usual Residence","Male","Not applicable","80-84 years",0
"Persons, Place of Usual Residence","Male","Not applicable","85-89 years",0
"Persons, Place of Usual Residence","Male","Not applicable","90-94 years",0
"Persons, Place of Usual Residence","Male","Not applicable","95-99 years",0
"Persons, Place of Usual Residence","Male","Not applicable","100 years and over",0
"Persons, Place of Usual Residence","Male","Not applicable","Total",2240826
"Persons, Place of Usual Residence","Female","Fully engaged","0-4 years",0
"Persons, Place of Usual Residence","Female","Fully engaged","5-9 years",0
"Persons, Place of Usual Residence","Female","Fully engaged","10-14 years",0
"Persons, Place of Usual Residence","Female","Fully engaged","15-19 years",564773
"Persons, Place of Usual Residence","Female","Fully engaged","20-24 years",487796
"Persons, Place of Usual Residence","Female","Fully engaged","25-29 years",453365
"Persons, Place of Usual Residence","Female","Fully engaged","30-34 years",369790
"Persons, Place of Usual Residence","Female","Fully engaged","35-39 years",299536
"Persons, Place of Usual Residence","Female","Fully engaged","40-44 years",317693
"Persons, Place of Usual Residence","Female","Fully engaged","45-49 years",332521
"Persons, Place of Usual Residence","Female","Fully engaged","50-54 years",306164
"Persons, Place of Usual Residence","Female","Fully engaged","55-59 years",240776
"Persons, Place of Usual Residence","Female","Fully engaged","60-64 years",129180
"Persons, Place of Usual Residence","Female","Fully engaged","65-69 years",40828
"Persons, Place of Usual Residence","Female","Fully engaged","70-74 years",10427
"Persons, Place of Usual Residence","Female","Fully engaged","75-79 years",3326
"Persons, Place of Usual Residence","Female","Fully engaged","80-84 years",1228
"Persons, Place of Usual Residence","Female","Fully engaged","85-89 years",522
"Persons, Place of Usual Residence","Female","Fully engaged","90-94 years",242
"Persons, Place of Usual Residence","Female","Fully engaged","95-99 years",272
"Persons, Place of Usual Residence","Female","Fully engaged","100 years and over",63
"Persons, Place of Usual Residence","Female","Fully engaged","Total",3558505
"Persons, Place of Usual Residence","Female","Partially engaged","0-4 years",0
"Persons, Place of Usual Residence","Female","Partially engaged","5-9 years",0
"Persons, Place of Usual Residence","Female","Partially engaged","10-14 years",0
"Persons, Place of Usual Residence","Female","Partially engaged","15-19 years",49503
"Persons, Place of Usual Residence","Female","Partially engaged","20-24 years",115051
"Persons, Place of Usual Residence","Female","Partially engaged","25-29 years",143524
"Persons, Place of Usual Residence","Female","Partially engaged","30-34 years",202239
"Persons, Place of Usual Residence","Female","Partially engaged","35-39 years",232233
"Persons, Place of Usual Residence","Female","Partially engaged","40-44 years",253261
"Persons, Place of Usual Residence","Female","Partially engaged","45-49 years",244726
"Persons, Place of Usual Residence","Female","Partially engaged","50-54 years",221484
"Persons, Place of Usual Residence","Female","Partially engaged","55-59 years",202529
"Persons, Place of Usual Residence","Female","Partially engaged","60-64 years",150442
"Persons, Place of Usual Residence","Female","Partially engaged","65-69 years",73753
"Persons, Place of Usual Residence","Female","Partially engaged","70-74 years",26378
"Persons, Place of Usual Residence","Female","Partially engaged","75-79 years",8077
"Persons, Place of Usual Residence","Female","Partially engaged","80-84 years",2458
"Persons, Place of Usual Residence","Female","Partially engaged","85-89 years",837
"Persons, Place of Usual Residence","Female","Partially engaged","90-94 years",226
"Persons, Place of Usual Residence","Female","Partially engaged","95-99 years",205
"Persons, Place of Usual Residence","Female","Partially engaged","100 years and over",47
"Persons, Place of Usual Residence","Female","Partially engaged","Total",1926969
"Persons, Place of Usual Residence","Female","At least partially engaged","0-4 years",0
"Persons, Place of Usual Residence","Female","At least partially engaged","5-9 years",0
"Persons, Place of Usual Residence","Female","At least partially engaged","10-14 years",0
"Persons, Place of Usual Residence","Female","At least partially engaged","15-19 years",6133
"Persons, Place of Usual Residence","Female","At least partially engaged","20-24 years",16828
"Persons, Place of Usual Residence","Female","At least partially engaged","25-29 years",33489
"Persons, Place of Usual Residence","Female","At least partially engaged","30-34 years",49632
"Persons, Place of Usual Residence","Female","At least partially engaged","35-39 years",35308
"Persons, Place of Usual Residence","Female","At least partially engaged","40-44 years",24404
"Persons, Place of Usual Residence","Female","At least partially engaged","45-49 years",23139
"Persons, Place of Usual Residence","Female","At least partially engaged","50-54 years",25285
"Persons, Place of Usual Residence","Female","At least partially engaged","55-59 years",25926
"Persons, Place of Usual Residence","Female","At least partially engaged","60-64 years",20372
"Persons, Place of Usual Residence","Female","At least partially engaged","65-69 years",10395
"Persons, Place of Usual Residence","Female","At least partially engaged","70-74 years",4470
"Persons, Place of Usual Residence","Female","At least partially engaged","75-79 years",2213
"Persons, Place of Usual Residence","Female","At least partially engaged","80-84 years",1219
"Persons, Place of Usual Residence","Female","At least partially engaged","85-89 years",698
"Persons, Place of Usual Residence","Female","At least partially engaged","90-94 years",255
"Persons, Place of Usual Residence","Female","At least partially engaged","95-99 years",81
"Persons, Place of Usual Residence","Female","At least partially engaged","100 years and over",13
"Persons, Place of Usual Residence","Female","At least partially engaged","Total",279864
"Persons, Place of Usual Residence","Female","Not Engaged","0-4 years",0
"Persons, Place of Usual Residence","Female","Not Engaged","5-9 years",0
"Persons, Place of Usual Residence","Female","Not Engaged","10-14 years",0
"Persons, Place of Usual Residence","Female","Not Engaged","15-19 years",38476
"Persons, Place of Usual Residence","Female","Not Engaged","20-24 years",101946
"Persons, Place of Usual Residence","Female","Not Engaged","25-29 years",151536
"Persons, Place of Usual Residence","Female","Not Engaged","30-34 years",186322
"Persons, Place of Usual Residence","Female","Not Engaged","35-39 years",174749
"Persons, Place of Usual Residence","Female","Not Engaged","40-44 years",163993
"Persons, Place of Usual Residence","Female","Not Engaged","45-49 years",161117
"Persons, Place of Usual Residence","Female","Not Engaged","50-54 years",175453
"Persons, Place of Usual Residence","Female","Not Engaged","55-59 years",229336
"Persons, Place of Usual Residence","Female","Not Engaged","60-64 years",321841
